model_name,hp_layers,hp_units,hp_activation,hp_optimizer,hp_loss,hp_epochs,hp_batch_size,obj_training_time,obj_total_layers,obj_total_nodes,obj_loss,obj_accuracy,obj_binary_accuracy,obj_cosine_similarity,obj_true_positives,obj_true_negatives,obj_false_positives,obj_false_negatives,obj_mean_squared_error,obj_recall,obj_precision,obj_auc,obj_sensitivity,obj_specificity
model_1,4,128,relu,adam,binary_crossentropy,3,16,4.273168325424194,5,512,0.02674095705151558,0.017543859779834747,0.9824561476707458,0.6666665077209473,75.0,37.0,1.0,1.0,0.006584782153367996,0.9868420958518982,0.9868420958518982,0.9996537566184998,1.0,1.0
model_2,8,32,relu,sgd,cosine_similarity,4,32,2.1896071434020996,9,256,-0.6666665077209473,0.0,0.3333333432674408,0.6666665077209473,0.0,38.0,0.0,76.0,0.25287696719169617,0.0,0.0,0.5488227009773254,0.02631578966975212,0.18421052396297455
model_3,16,8,relu,rmsprop,binary_crossentropy,6,64,5.3690478801727295,17,128,0.6000771522521973,0.0,0.6666666865348816,0.6666665077209473,76.0,0.0,38.0,0.0,0.20461036264896393,1.0,0.6666666865348816,0.9683172106742859,0.9342105388641357,0.9210526347160339
model_4,3,32,sigmoid,adam,cosine_similarity,7,16,4.9530110359191895,4,96,-0.6666665077209473,0.0,0.3333333432674408,0.6666665077209473,0.0,38.0,0.0,76.0,0.27214479446411133,0.0,0.0,0.8227146863937378,0.17105263471603394,0.6842105388641357
model_5,6,128,sigmoid,sgd,cosine_similarity,8,32,3.1822705268859863,7,768,-0.6666665077209473,0.0,0.3333333432674408,0.6666665077209473,0.0,38.0,0.0,76.0,0.32792943716049194,0.0,0.0,0.5,0.0,0.0
model_6,9,32,sigmoid,rmsprop,binary_crossentropy,9,64,5.332398176193237,10,288,0.6475347280502319,0.0,0.6666666865348816,0.6666665077209473,76.0,0.0,38.0,0.0,0.2274142950773239,1.0,0.6666666865348816,0.5,0.0,0.0
model_7,5,8,tanh,adam,binary_focal_crossentropy,10,16,5.200970888137817,6,40,0.012154332362115383,0.0,0.9912280440330505,0.6666665077209473,75.0,38.0,0.0,1.0,0.03598391264677048,0.9868420958518982,1.0,1.0,1.0,1.0
model_8,10,128,tanh,sgd,binary_focal_crossentropy,11,32,4.163914442062378,11,1280,0.02010694332420826,0.0,0.9649122953414917,0.6666665077209473,73.0,37.0,1.0,3.0,0.04552973806858063,0.9605262875556946,0.9864864945411682,0.9986149668693542,1.0,1.0
model_9,15,2,tanh,rmsprop,binary_focal_crossentropy,12,64,5.701545476913452,16,30,0.06008382514119148,0.0,0.9385964870452881,0.6666665077209473,74.0,33.0,5.0,2.0,0.10565967112779617,0.9736841917037964,0.9367088675498962,0.9771468043327332,0.8421052694320679,0.8947368264198303
model_10,2,2,sigmoid,sgd,binary_crossentropy,5,32,2.484478712081909,3,4,0.6787594556808472,0.0,0.6666666865348816,0.6666665077209473,76.0,0.0,38.0,0.0,0.24281185865402222,1.0,0.6666666865348816,0.5477839708328247,0.02631578966975212,0.0
