hyp_loss_function,hyp_hidden_layer_count,hyp_units_per_hidden_layer,hyp_activation_per_hidden_layer,hyp_optimizer,hyp_epochs,hyp_batch_size,hyp_feature_count,hyp_class_count,obj_total_layers,obj_total_nodes,obj_training_time,obj_loss,obj_accuracy,obj_false_positive_rate,obj_false_negative_rate,obj_true_positive_rate,obj_true_negative_rate,obj_f1,obj_precision,obj_auc
binary_focal_crossentropy,16,"[115, 86, 84, 110, 80, 23, 20, 30, 44, 40, 94, 66, 71, 37, 70, 113]","['tanh', 'relu', 'sigmoid', 'relu', 'tanh', 'sigmoid', 'sigmoid', 'tanh', 'tanh', 'sigmoid', 'sigmoid', 'sigmoid', 'relu', 'relu', 'sigmoid', 'tanh']",sgd,18,64,30,2,18,1115,0.5076570510864258,0.16072407364845276,0.6666666666666666,1.0,0.0,1.0,0.0,0.8,0.6666666666666666,0.6535664819944599
binary_focal_crossentropy,11,"[63, 17, 100, 36, 17, 49, 36, 85, 53, 59, 38]","['relu', 'sigmoid', 'relu', 'relu', 'relu', 'relu', 'sigmoid', 'tanh', 'tanh', 'sigmoid', 'relu']",rmsprop,8,16,30,2,13,585,0.7214920520782471,0.013755738735198975,0.9912280701754386,0.0,0.013157894736842105,0.9868421052631579,1.0,0.0,1.0,0.9986149584487535
cosine_similarity,10,"[118, 126, 83, 38, 67, 96, 68, 100, 103, 53]","['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'sigmoid', 'relu', 'relu']",rmsprop,17,16,30,2,12,884,0.829603910446167,-0.6666666865348816,0.6666666666666666,1.0,0.0,1.0,0.0,0.8,0.6666666666666666,0.965027700831025
binary_focal_crossentropy,2,"[45, 102]","['relu', 'relu']",rmsprop,20,128,30,2,4,179,0.48105907440185547,0.015443948097527027,0.9824561403508771,0.02631578947368421,0.013157894736842105,0.9868421052631579,0.9736842105263158,0.05126452494873548,0.9868421052631579,0.9986149584487535
binary_crossentropy,3,"[32, 31, 53]","['relu', 'relu', 'relu']",rmsprop,7,128,30,2,5,148,0.30083370208740234,0.25391441583633423,0.9210526315789473,0.15789473684210525,0.039473684210526314,0.9605263157894737,0.8421052631578947,0.2697044334975369,0.9240506329113924,0.9837257617728532
binary_focal_crossentropy,13,"[29, 27, 117, 21, 45, 111, 111, 127, 74, 18, 37, 45, 43]","['sigmoid', 'tanh', 'relu', 'tanh', 'tanh', 'tanh', 'sigmoid', 'tanh', 'tanh', 'sigmoid', 'relu', 'sigmoid', 'relu']",adam,9,16,30,2,15,837,1.120798110961914,0.0357026569545269,0.9824561403508771,0.0,0.02631578947368421,0.9736842105263158,1.0,0.0,1.0,0.9982686980609418
cosine_similarity,7,"[82, 101, 98, 124, 100, 17, 128]","['tanh', 'sigmoid', 'relu', 'tanh', 'sigmoid', 'tanh', 'tanh']",rmsprop,11,64,30,2,9,682,0.501676082611084,-0.6666666865348816,0.6666666666666666,1.0,0.0,1.0,0.0,0.8,0.6666666666666666,0.2946675900277008
cosine_similarity,10,"[30, 85, 109, 64, 126, 109, 105, 35, 57, 77]","['relu', 'sigmoid', 'sigmoid', 'sigmoid', 'relu', 'tanh', 'tanh', 'tanh', 'sigmoid', 'sigmoid']",adam,15,128,30,2,12,829,0.9144909381866455,-0.6666666865348816,0.6666666666666666,1.0,0.0,1.0,0.0,0.8,0.6666666666666666,0.33587257617728533
cosine_similarity,15,"[79, 48, 49, 33, 31, 50, 116, 69, 52, 45, 122, 90, 113, 49, 95]","['relu', 'relu', 'relu', 'relu', 'relu', 'sigmoid', 'sigmoid', 'sigmoid', 'tanh', 'relu', 'tanh', 'tanh', 'tanh', 'relu', 'tanh']",adam,6,16,30,2,17,1073,1.1495270729064941,-0.6666666865348816,0.6666666666666666,1.0,0.0,1.0,0.0,0.8,0.6666666666666666,0.1925207756232687
binary_focal_crossentropy,9,"[29, 32, 60, 99, 44, 116, 114, 119, 99]","['sigmoid', 'relu', 'tanh', 'tanh', 'sigmoid', 'sigmoid', 'sigmoid', 'sigmoid', 'sigmoid']",rmsprop,16,128,30,2,11,744,0.7702620029449463,0.16109414398670197,0.6666666666666666,1.0,0.0,1.0,0.0,0.8,0.6666666666666666,0.7938019390581716
cosine_similarity,8,"[82, 101, 98, 124, 100, 17, 128, 104]","['tanh', 'sigmoid', 'relu', 'tanh', 'sigmoid', 'tanh', 'tanh', 'tanh']",rmsprop,11,64,30,2,10,786,0.5574421882629395,-0.6666666865348816,0.6666666666666666,1.0,0.0,1.0,0.0,0.8,0.6666666666666666,0.03012465373961218
cosine_similarity,9,"[30, 85, 109, 64, 126, 105, 35, 57, 77]","['relu', 'sigmoid', 'sigmoid', 'sigmoid', 'relu', 'tanh', 'tanh', 'sigmoid', 'sigmoid']",adam,15,128,30,2,11,720,0.8827528953552246,-0.6666666865348816,0.6666666666666666,1.0,0.0,1.0,0.0,0.8,0.6666666666666666,0.523718836565097
cosine_similarity,9,"[30, 85, 109, 64, 126, 105, 35, 57, 77]","['relu', 'sigmoid', 'sigmoid', 'sigmoid', 'relu', 'tanh', 'tanh', 'sigmoid', 'sigmoid']",sgd,15,128,30,2,11,720,0.3538670539855957,-0.6666666865348816,0.6666666666666666,1.0,0.0,1.0,0.0,0.8,0.6666666666666666,0.6925207756232686
binary_crossentropy,2,"[45, 102]","['relu', 'relu']",rmsprop,20,128,30,2,4,179,0.45747828483581543,0.05818405747413635,0.9824561403508771,0.02631578947368421,0.013157894736842105,0.9868421052631579,0.9736842105263158,0.05126452494873548,0.9868421052631579,0.9996537396121884
cosine_similarity,2,"[45, 102]","['relu', 'relu']",rmsprop,20,128,30,2,4,179,0.4524080753326416,-0.6666666865348816,0.2807017543859649,0.3157894736842105,0.9210526315789473,0.07894736842105263,0.6842105263157895,0.3243243243243243,0.3333333333333333,0.25727146814404434
cosine_similarity,11,"[63, 17, 100, 36, 17, 49, 36, 85, 53, 59, 38]","['relu', 'sigmoid', 'relu', 'relu', 'relu', 'relu', 'sigmoid', 'tanh', 'tanh', 'sigmoid', 'relu']",rmsprop,8,16,30,2,13,585,0.6543188095092773,-0.6666666865348816,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,0.24065096952908588
cosine_similarity,10,"[118, 126, 83, 103, 67, 96, 68, 100, 103, 53]","['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'sigmoid', 'relu', 'relu']",rmsprop,17,16,30,2,12,949,1.0244839191436768,-0.6666666865348816,0.6666666666666666,1.0,0.0,1.0,0.0,0.8,0.6666666666666666,0.7766620498614958
binary_focal_crossentropy,11,"[63, 17, 100, 36, 17, 49, 36, 85, 53, 96, 38]","['relu', 'sigmoid', 'relu', 'relu', 'relu', 'relu', 'sigmoid', 'tanh', 'tanh', 'sigmoid', 'relu']",rmsprop,8,16,30,2,13,622,0.6846489906311035,0.019434180110692978,0.9736842105263158,0.07894736842105263,0.0,1.0,0.9210526315789473,0.14592,0.9620253164556962,0.9982686980609418
cosine_similarity,10,"[118, 126, 83, 38, 67, 96, 68, 100, 103, 53]","['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'sigmoid', 'relu', 'relu']",rmsprop,17,32,30,2,12,884,0.767362117767334,-0.6666666865348816,0.6666666666666666,1.0,0.0,1.0,0.0,0.8,0.6666666666666666,0.035318559556786706
cosine_similarity,7,"[82, 101, 75, 124, 100, 17, 128]","['tanh', 'sigmoid', 'relu', 'tanh', 'sigmoid', 'tanh', 'tanh']",rmsprop,11,64,30,2,9,659,0.5118610858917236,-0.6666666865348816,0.6666666666666666,1.0,0.0,1.0,0.0,0.8,0.6666666666666666,0.15062326869806095
cosine_similarity,10,"[30, 85, 117, 64, 126, 109, 105, 35, 57, 77]","['relu', 'sigmoid', 'sigmoid', 'sigmoid', 'relu', 'tanh', 'tanh', 'tanh', 'sigmoid', 'sigmoid']",adam,15,128,30,2,12,837,0.9672558307647705,-0.6666666865348816,0.6666666666666666,1.0,0.0,1.0,0.0,0.8,0.6666666666666666,0.5197368421052632
binary_focal_crossentropy,11,"[63, 17, 100, 36, 17, 49, 36, 85, 53, 59, 38]","['relu', 'sigmoid', 'relu', 'relu', 'relu', 'relu', 'sigmoid', 'tanh', 'tanh', 'sigmoid', 'relu']",rmsprop,8,16,30,2,13,585,0.686647891998291,0.023275991901755333,0.956140350877193,0.13157894736842105,0.0,1.0,0.868421052631579,0.23079259034315214,0.9382716049382716,0.9986149584487535
